id,expression_id,referenced_word_id,start,length
79859,90673,60,0,2
79860,90673,23,3,2
79861,90673,7,6,3
79862,90673,60,10,2
79863,90673,205,13,3
79864,90673,7,17,3
79865,90674,60,0,2
79866,90674,23,3,2
79867,90674,7,6,3
79868,90675,3,0,2
79869,90675,23,3,2
79870,90675,7,6,3
79871,90676,59750,6,3
79872,90677,10,0,1
79873,90677,1544,2,5
79874,90677,4728,8,7
79875,90678,10,0,1
79876,90678,1737,2,6
79877,90678,4728,9,7
79878,90710,3,0,2
79879,90710,5,10,2
79880,90711,19,0,1
79881,90711,104,2,5
